id_user,id_tutor,jenjang_tutor,gender_tutor,daerah_tutor,pelajaran
108,103,10,Female,Tanggerang,Bahasa Indonesia
102,122,12,Male,Depok,Geografi
49,103,11,Female,Tanggerang,Bahasa Indonesia
156,138,10,Male,Tanggerang,Sejarah
168,75,10,Female,Jakarta,Matematika
131,91,12,Female,Bogor,Kimia
116,73,10,Female,Tanggerang,Matematika
103,139,12,Female,Bekasi,Sejarah
172,134,10,Male,Bekasi,Sosiologi
35,94,12,Male,Bekasi,Kimia
106,141,12,Female,Bogor,Sejarah
97,127,12,Female,Depok,Sosiologi
51,144,12,Male,Bekasi,Ekonomi
50,120,10,Male,Jakarta,Geografi
141,117,10,Female,Depok,Bahasa Inggris
28,81,12,Female,Bogor,Fisika
114,144,10,Male,Bekasi,Ekonomi
118,127,12,Female,Depok,Sosiologi
51,116,11,Male,Bogor,Bahasa Inggris
126,143,11,Female,Tanggerang,Ekonomi
83,129,12,Female,Bekasi,Sosiologi
130,141,12,Female,Bogor,Sejarah
104,85,11,Female,Jakarta,Fisika
54,90,12,Male,Jakarta,Kimia
7,148,10,Male,Tanggerang,Ekonomi
5,111,11,Female,Bogor,Bahasa Inggris
99,75,11,Female,Jakarta,Matematika
12,129,10,Female,Bekasi,Sosiologi
97,93,10,Female,Tanggerang,Kimia
88,114,11,Male,Bekasi,Bahasa Inggris
133,111,11,Female,Bogor,Bahasa Inggris
64,140,10,Male,Jakarta,Sejarah
33,108,12,Male,Tanggerang,Bahasa Indonesia
10,95,12,Female,Jakarta,Biologi
142,87,11,Female,Depok,Kimia
118,90,12,Male,Jakarta,Kimia
60,82,12,Male,Depok,Fisika
54,135,10,Female,Jakarta,Sejarah
62,130,10,Male,Jakarta,Sosiologi
176,95,10,Female,Jakarta,Biologi
98,123,10,Female,Tanggerang,Geografi
17,109,10,Female,Bekasi,Bahasa Indonesia
197,74,10,Male,Bekasi,Matematika
127,79,11,Female,Bekasi,Fisika
57,146,10,Male,Bogor,Ekonomi
61,138,11,Male,Tanggerang,Sejarah
69,110,10,Male,Jakarta,Bahasa Indonesia
184,92,10,Male,Depok,Kimia
20,122,11,Male,Depok,Geografi
6,135,10,Female,Jakarta,Sejarah
122,97,11,Female,Depok,Biologi
180,122,12,Male,Depok,Geografi
152,95,11,Female,Jakarta,Biologi
42,82,11,Male,Depok,Fisika
36,125,11,Female,Jakarta,Geografi
109,141,10,Female,Bogor,Sejarah
90,137,12,Female,Depok,Sejarah
123,101,11,Female,Bogor,Biologi
49,125,11,Female,Jakarta,Geografi
165,147,10,Female,Depok,Ekonomi
188,129,12,Female,Bekasi,Sosiologi
101,131,11,Female,Bogor,Sosiologi
182,148,12,Male,Tanggerang,Ekonomi
104,96,10,Male,Bogor,Biologi
59,139,11,Female,Bekasi,Sejarah
176,125,12,Female,Jakarta,Geografi
116,80,12,Male,Jakarta,Fisika
85,129,11,Female,Bekasi,Sosiologi
112,141,10,Female,Bogor,Sejarah
200,83,11,Female,Tanggerang,Fisika
177,106,10,Male,Bogor,Bahasa Indonesia
