id_user,id_tutor,jenjang_tutor,gender_tutor,daerah_tutor,pelajaran
298,48,8,Male,Tanggerang,IPA
252,54,9,Male,Bekasi,IPS
299,65,8,Female,Jakarta,Bahasa Indonesia
213,65,8,Female,Jakarta,Bahasa Indonesia
268,38,8,Male,Tanggerang,Matematika
281,54,7,Male,Bekasi,IPS
281,55,9,Female,Jakarta,IPS
234,59,8,Female,Bekasi,Bahasa Inggris
257,55,8,Female,Jakarta,IPS
265,50,8,Male,Jakarta,IPS
229,58,7,Male,Tanggerang,Bahasa Inggris
281,61,7,Female,Bogor,Bahasa Inggris
215,48,8,Male,Tanggerang,IPA
218,38,8,Male,Tanggerang,Matematika
210,36,7,Male,Bogor,Matematika
286,51,7,Female,Bogor,IPS
272,44,8,Male,Bekasi,IPA
296,65,8,Female,Jakarta,Bahasa Indonesia
280,56,8,Male,Bogor,IPS
275,48,7,Male,Tanggerang,IPA
260,53,8,Female,Tanggerang,IPS
228,58,8,Male,Tanggerang,Bahasa Inggris
270,70,7,Male,Jakarta,Bahasa Indonesia
281,67,9,Female,Depok,Bahasa Indonesia
216,56,7,Male,Bogor,IPS
229,70,8,Male,Jakarta,Bahasa Indonesia
205,45,8,Female,Jakarta,IPA
264,55,9,Female,Jakarta,IPS
266,69,7,Female,Bekasi,Bahasa Indonesia
294,46,8,Male,Bogor,IPA
205,54,7,Male,Bekasi,IPS
280,41,9,Female,Bogor,Matematika
203,61,8,Female,Bogor,Bahasa Inggris
293,65,9,Female,Jakarta,Bahasa Indonesia
226,46,7,Male,Bogor,IPA
243,55,7,Female,Jakarta,IPS
238,57,7,Female,Depok,Bahasa Inggris
237,68,9,Male,Tanggerang,Bahasa Indonesia
274,67,8,Female,Depok,Bahasa Indonesia
251,53,9,Female,Tanggerang,IPS
225,67,7,Female,Depok,Bahasa Indonesia
282,52,9,Male,Depok,IPS
252,43,8,Female,Tanggerang,IPA
286,57,9,Female,Depok,Bahasa Inggris
212,52,9,Male,Depok,IPS
272,70,8,Male,Jakarta,Bahasa Indonesia
267,60,7,Male,Jakarta,Bahasa Inggris
221,46,8,Male,Bogor,IPA
205,52,8,Male,Depok,IPS
271,49,8,Female,Bekasi,IPA
239,46,9,Male,Bogor,IPA
252,61,7,Female,Bogor,Bahasa Inggris
252,44,7,Male,Bekasi,IPA
201,39,8,Female,Bekasi,Matematika
290,58,7,Male,Tanggerang,Bahasa Inggris
285,43,9,Female,Tanggerang,IPA
292,50,8,Male,Jakarta,IPS
221,66,8,Male,Bogor,Bahasa Indonesia
248,57,7,Female,Depok,Bahasa Inggris
204,38,9,Male,Tanggerang,Matematika
294,70,8,Male,Jakarta,Bahasa Indonesia
231,62,7,Male,Depok,Bahasa Inggris
295,59,9,Female,Bekasi,Bahasa Inggris
243,52,7,Male,Depok,IPS
219,47,8,Female,Depok,IPA
261,65,7,Female,Jakarta,Bahasa Indonesia
211,66,8,Male,Bogor,Bahasa Indonesia
270,57,8,Female,Depok,Bahasa Inggris
277,45,9,Female,Jakarta,IPA
281,66,7,Male,Bogor,Bahasa Indonesia
230,52,7,Male,Depok,IPS
211,52,9,Male,Depok,IPS
224,69,8,Female,Bekasi,Bahasa Indonesia
279,60,9,Male,Jakarta,Bahasa Inggris
251,44,7,Male,Bekasi,IPA
245,58,8,Male,Tanggerang,Bahasa Inggris
215,61,8,Female,Bogor,Bahasa Inggris
203,61,8,Female,Bogor,Bahasa Inggris
282,61,8,Female,Bogor,Bahasa Inggris
274,67,9,Female,Depok,Bahasa Indonesia
214,54,8,Male,Bekasi,IPS
245,40,7,Male,Jakarta,Matematika
201,61,8,Female,Bogor,Bahasa Inggris
294,62,7,Male,Depok,Bahasa Inggris
271,44,9,Male,Bekasi,IPA
268,62,8,Male,Depok,Bahasa Inggris
240,58,8,Male,Tanggerang,Bahasa Inggris
271,43,8,Female,Tanggerang,IPA
251,50,9,Male,Jakarta,IPS
283,51,8,Female,Bogor,IPS
217,64,8,Male,Bekasi,Bahasa Indonesia
238,38,8,Male,Tanggerang,Matematika
256,48,7,Male,Tanggerang,IPA
281,58,7,Male,Tanggerang,Bahasa Inggris
